Quế Ngọc Hải,0,Hậu vệ,180,77,5/15/1993,https://vpf.vn/wp-content/uploads/2018/12/BDFC_3_QueNgocHai_VN001612-150x150.jpg
Janclesio Almeida Santos,0,Hậu vệ,190,80,4/22/1993,https://vpf.vn/wp-content/uploads/2018/12/BDFC_4_AlmeidaSantosJanclesio_BR001613-150x150.jpg
Ryan Ha,0,Tiền đạo,184,84,8/24/1997,https://vpf.vn/wp-content/uploads/2018/12/BDFC_7_RyanHa_FR001618-150x150.jpg
Tống Anh Tỷ,0,Tiền vệ,173,73,1/24/1997,https://vpf.vn/wp-content/uploads/2018/12/BDFC_8_TongAnhTy_VN0000160-150x150.jpg
Ibara Doniama Prince Vinny,0,Tiền đạo,190,92,2/7/1996,https://vpf.vn/wp-content/uploads/2018/12/BDFC_9_IbaraDoniamaPrinceVinny_CG001621-150x150.jpg
Hồ Sỹ Giáp,0,Tiền đạo,176,67,4/18/1994,https://vpf.vn/wp-content/uploads/2018/12/10-ho-sy-giap-150x150.jpg
Bùi Vĩ Hào,0,Tiền đạo,175,68,2/24/2003,https://vpf.vn/wp-content/uploads/2018/12/BDFC_11_BuiViHao_VN0001113-150x150.jpg
Trần Duy Khánh,0,Tiền vệ,172,77,7/20/1997,https://vpf.vn/wp-content/uploads/2018/12/BDFC_12_TranDuyKhanh_VN0001114-150x150.jpg
Nguyễn Hải Huy,0,Tiền vệ,175,70,6/18/1991,https://vpf.vn/wp-content/uploads/2018/12/BDFC_14_NguyenHaiHuy_VN001624-150x150.jpg
Nguyễn Trần Việt Cường,0,Tiền vệ,180,68,12/27/2000,https://vpf.vn/wp-content/uploads/2018/12/BDFC_16_NguyenTranVietCuong_VN0001116-150x150.jpg
Võ Minh Trọng,0,Hậu vệ,170,59,10/24/2001,https://vpf.vn/wp-content/uploads/2020/01/PTFC_VN0001018_VoMinhTrong_20-150x150.jpg
Hà Trung Hậu,0,Hậu vệ,178,77,10/3/2002,https://vpf.vn/wp-content/uploads/2018/12/BDFC_18_HaTrungHau_VN001625-150x150.jpg
Nguyễn Thành Lộc,0,Hậu vệ,172,67,2/23/1997,https://vpf.vn/wp-content/uploads/2018/12/BFC_VN0002242_NguyenThanhLoc_4-150x150.jpg
Đoàn Tuấn Cảnh,0,Hậu vệ,176,69,7/27/1998,https://vpf.vn/wp-content/uploads/2018/12/BDFC_20_DoanTuanCanh_VN001626-150x150.jpg
Trần Đình Khương,0,Tiền vệ,179,75,1/10/1996,https://vpf.vn/wp-content/uploads/2018/12/BDFC_21_TranDinhKhuong_VN0001117-150x150.jpg
Nguyễn Tiến Linh,0,Tiền đạo,181,75,10/20/1997,https://vpf.vn/wp-content/uploads/2018/12/BDFC_22_NguyenTienLinh_VN001627-150x150.jpg
Vũ Tuyên Quang,0,Thủ môn,185,72,7/5/1995,https://vpf.vn/wp-content/uploads/2018/12/BDFC_23_VuTuyenQuang_VN001628-150x150.jpg
Trần Hoàng Bảo,0,Tiền vệ,177,65,5/15/2001,https://vpf.vn/wp-content/uploads/2023/03/BDFC_24_TranHoangBao_VN001629-150x150.jpg
Trần Minh Toàn,0,Thủ môn,186,85,1/21/1996,https://vpf.vn/wp-content/uploads/2018/12/BDFC_25_TranMinhToan_VN001630-150x150.jpg
Đoàn Hải Quân,0,Tiền vệ,178,67,2/12/1997,https://vpf.vn/wp-content/uploads/2018/12/z4766389422226_8cab8b5a36d9d6cfd3baa8bbea9a23da-150x150.jpg
Nguyễn Văn Đô,0,Tiền vệ,172,65,7/11/1998,https://vpf.vn/wp-content/uploads/2018/12/BDFC_28_NguyenVanDo_VN001632-150x150.jpg
Võ Hoàng Minh Khoa,0,Tiền vệ,175,70,3/12/2001,https://vpf.vn/wp-content/uploads/2018/12/BDFC_29_VoHoangMinhKhoa_VN0001118-150x150.jpg
Trương Dủ Đạt,0,Hậu vệ,181,82,7/25/1997,https://vpf.vn/wp-content/uploads/2018/12/BDFC_32_TruongDuDat_VN001633-150x150.jpg
Lê Quang Hùng,0,Hậu vệ,165,65,8/16/1992,https://vpf.vn/wp-content/uploads/2023/03/BFC_34_LeQuangHung_VN0002269-150x150.jpg
Trần Trung Hiếu,0,Tiền vệ,180,75,2/2/1993,https://vpf.vn/wp-content/uploads/2018/12/BDFC_39_KizitoGeofrey_VN001635-150x150.jpg
Phan Minh Thành,0,Thủ môn,192,80,11/22/1998,https://vpf.vn/wp-content/uploads/2018/12/BDFC_46_PhanMinhThanh_VN001636-150x150.jpg
Bùi Duy Thường,0,Tiền vệ,176,74,4/5/1996,https://vpf.vn/wp-content/uploads/2018/12/BDFC_88_BuiDuyThuong_VN001638-150x150.jpg
Filip Nguyen,0,Thủ môn,192,88,9/14/1992,https://vpf.vn/wp-content/uploads/2018/12/CAHN_1_FilipNguyen_VN001885-150x150.jpg
Huỳnh Tấn Sinh,0,Hậu vệ,182,80,4/6/1998,https://vpf.vn/wp-content/uploads/2018/12/CAHN_3_HuynhTanSinh_VN001888-150x150.jpg
Hồ Tấn Tài,0,Hậu vệ,180,77,11/6/1997,https://vpf.vn/wp-content/uploads/2018/12/CAHN_4_HoTanTai_VN001890-150x150.jpg
Đoàn Văn Hậu,0,Hậu vệ,185,82,4/19/1999,https://vpf.vn/wp-content/uploads/2018/12/CAHN_5_DoanVanHau_VN001891-150x150.jpg
Trương Văn Thiết,0,Hậu vệ,177,68,6/7/1995,https://vpf.vn/wp-content/uploads/2018/12/CAHN_6_TruongVanThiet_VN0000332-150x150.jpg
Nguyễn Xuân Nam,0,Tiền đạo,181,72,1/18/1994,https://vpf.vn/wp-content/uploads/2018/12/CAHN_7_NguyenXuanNam_VN001895-150x150.jpg
Fialho De Aquino Junior Janio,0,Tiền đạo,0,0,,https://vpf.vn/wp-content/uploads/2018/12/CAHN_8_FialhoDeAquinoJuniorJanio_VN001897-150x150.jpg
Jeferson Elias,0,Tiền đạo,186,78,1/12/1998,https://vpf.vn/wp-content/uploads/2023/01/CAHN_9_Braga-Montimor-Jeferson-Elias-150x150.jpg
Lê Phạm Thành Long,0,Tiền vệ,165,64,6/5/1996,https://vpf.vn/wp-content/uploads/2018/12/CAHN_11_LePhamThanhLong_VN001901-150x150.jpg
Hoàng Văn Toản,0,Tiền vệ,175,70,4/1/2001,https://vpf.vn/wp-content/uploads/2018/12/CAHN_12_HoangVanToan_VN001902-150x150.jpg
Bùi Xuân Thịnh,0,Hậu vệ,169,64,9/15/2001,https://vpf.vn/wp-content/uploads/2021/03/P-NB_29_BuiXuanThinh_VN001519-150x150.jpg
Bùi Tiến Dụng,0,Hậu vệ,176,74,11/23/1998,https://vpf.vn/wp-content/uploads/2018/12/CAHN_16_BuiTienDung_VN001904-150x150.jpg
Vũ Văn Thanh,0,Hậu vệ,172,73,4/14/1996,https://vpf.vn/wp-content/uploads/2018/12/CAHN_17_VuVanThanh_VN001905-150x150.jpg
Hồ Ngọc Thắng,0,Tiền đạo,178,73,2/10/1994,https://vpf.vn/wp-content/uploads/2018/12/CAHN_18_HoNgocThang_VN001906-150x150.jpg
Nguyễn Quang Hải,0,Tiền vệ,166,65,4/12/1997,https://vpf.vn/wp-content/uploads/2018/12/CAHN_19_NguyenQuangHai_VN001907-150x150.jpg
Phạm Văn Luân,0,Tiền vệ,169,63,5/26/1999,https://vpf.vn/wp-content/uploads/2018/12/CAHN_21_PhamVanLuan_VN001908-150x150.jpg
Trần Văn Trung,0,Tiền vệ,168,63,1/27/1998,https://vpf.vn/wp-content/uploads/2018/12/CAHN_22_TranVanTrung_VN001909-150x150.jpg
Bùi Tiến Dũng,0,Thủ môn,180,78,1/28/1997,https://vpf.vn/wp-content/uploads/2018/12/CAHN_24_BuiTienDung_VN001910-150x150.jpg
Hà Văn Phương,0,Tiền vệ,170,69,7/13/2001,https://vpf.vn/wp-content/uploads/2018/12/CAHN_26_HaVanPhuong_VN001911-150x150.jpg
La Nguyễn Bảo Trung,0,Tiền vệ,172,67,10/5/2002,https://vpf.vn/wp-content/uploads/2018/12/CAHN_27_LaNguyenBaoTrung_VN001912-150x150.jpg
Hồ Văn Cường,0,Hậu vệ,167,63,1/15/2003,https://vpf.vn/wp-content/uploads/2018/12/CAHN_30_HoVanCuong_VN001640-150x150.jpg
Đỗ Sỹ Huy,0,Thủ môn,181,80,4/16/1998,https://vpf.vn/wp-content/uploads/2018/12/CAHN_33_DoSyHuy_VN001913-150x150.jpg
Huỳnh Tấn Tài,0,Tiền vệ,168,66,8/17/1994,https://vpf.vn/wp-content/uploads/2018/12/CAHN_39_HuynhTanTai_VN001914-150x150.jpg
Phạm Gia Hưng,0,Tiền đạo,181,74,4/26/2000,https://vpf.vn/wp-content/uploads/2018/12/CAHN_47_PhamGiaHung_VN001915-150x150.jpg
Bùi Hoàng Việt Anh,0,Hậu vệ,184,82,1/1/1999,https://vpf.vn/wp-content/uploads/2018/12/CAHN_68_BuiHoangVietAnh_VN001917-150x150.jpg
Trần Quang Thịnh,0,Hậu vệ,179,73,5/12/2001,https://vpf.vn/wp-content/uploads/2018/12/CAHN_55_TranQuangThinh_VN001916-150x150.jpg
Geovane Magno,0,Tiền đạo,188,78,4/14/1994,https://vpf.vn/wp-content/uploads/2018/12/CAHN_94_GeovaneMagno_VN001919-150x150.jpg
Giáp Tuấn Dương,0,Hậu vệ,176,73,9/7/2002,https://vpf.vn/wp-content/uploads/2018/12/CAHN_98_GiapTuanDuong_VN001920-150x150.jpg
Hoàng Đình Tùng,0,Tiền vệ,168,62,8/24/1988,https://vpf.vn/wp-content/uploads/2018/12/THFC_VN0000626_HoangDinhTung_2-150x150.jpg
Nguyễn Sỹ Nam,0,Hậu vệ,170,66,3/7/1993,https://vpf.vn/wp-content/uploads/2018/12/THFC_VN0002244_NguyenSyNam_6-150x150.jpg
Nguyễn Thanh Long,0,Hậu vệ,180,79,1/10/1993,https://vpf.vn/wp-content/uploads/2020/01/BFC_VN0002244_NguyenThanhLong_7-150x150.jpg
Võ Nguyên Hoàng,0,Tiền đạo,180,78,2/7/2002,https://vpf.vn/wp-content/uploads/2020/07/PHFC_10_VoNguyenHoang_VN0000556-150x150.jpg
Nguyễn Văn Tùng,0,Tiền đạo,168,63,3/7/2002,https://vpf.vn/wp-content/uploads/2021/03/PHFC_20_NguyenVanTung_VN0000967-150x150.jpg
Lê Văn Thắng,0,Tiền vệ,176,68,2/8/1990,https://vpf.vn/wp-content/uploads/2018/12/THFC_VN0000632_LeVanThang_10-150x150.jpg
Rimario Allando Gordon,0,Tiền đạo,180,75,7/6/1994,https://vpf.vn/wp-content/uploads/2018/12/THFC_11_RimarioAllandoGordon_VN001937-150x150.jpg
Nguyễn Thái Sơn,0,Tiền vệ,171,61,7/13/2003,https://vpf.vn/wp-content/uploads/2022/02/THFC_12_NguyenThaiSon_VN001938-150x150.jpg
Trương Thanh Nam,0,Hậu vệ,172,65,4/22/2004,https://vpf.vn/wp-content/uploads/2023/03/THFC_14_TruongThanhNam_VN0002270-150x150.jpg
Trịnh Văn Lợi,0,Hậu vệ,180,71,5/26/1995,https://vpf.vn/wp-content/uploads/2018/12/THFC_VN0000635_TrinhVanLoi_15-150x150.jpg
Đinh Tiến Thành,0,Tiền vệ,183,71,1/24/1991,https://vpf.vn/wp-content/uploads/2018/12/THFC_VN0000624_DinhTienThanh_16-150x150.jpg
Lâm Ti Phông,0,Tiền vệ,168,65,2/1/1996,https://vpf.vn/wp-content/uploads/2018/12/THFC_VN0002251_LamTiPhong_17-150x150.jpg
Đinh Viết Tú,0,Hậu vệ,180,78,8/16/1992,https://vpf.vn/wp-content/uploads/2018/12/NDFC_VN0000653_DinhVietTu_2-1-150x150.jpg
Lê Quốc Phương,0,Tiền vệ,165,61,5/19/1991,https://vpf.vn/wp-content/uploads/2018/12/THFC_VN0002252_LeQuocPhuong_19-150x150.jpg
Nguyễn Trọng Hùng,0,Tiền vệ,172,68,10/3/1997,https://vpf.vn/wp-content/uploads/2019/02/THFC_VN0000639_NguyenTrongHung_20-150x150.jpg
Thái Khắc Huy Hoàng,0,Tiền vệ,170,65,8/4/1999,https://vpf.vn/wp-content/uploads/2018/12/THFC_21_ThaiKhacHuyHoang_VN001641-150x150.jpg
Vũ Hồng Quân,0,Tiền vệ,171,66,3/10/1999,https://vpf.vn/wp-content/uploads/2023/03/HBFC_99_VuHongQuan_VN0002263-150x150.jpg
Phạm Trùm Tỉnh,0,Tiền vệ,168,62,5/2/1995,https://vpf.vn/wp-content/uploads/2018/12/KHFC_VN0000404_PhamTrumTinh_11-150x150.jpg
Nguyễn Thanh Diệp,0,Thủ môn,180,75,9/6/1991,https://vpf.vn/wp-content/uploads/2018/12/THFC_VN0000642_NguyenThanhDiep_25-150x150.jpg
A Mít,0,Tiền vệ,168,67,7/24/1997,https://vpf.vn/wp-content/uploads/2018/12/THFC_VN0000325_AMit_27-150x150.jpg
Hoàng Thái Bình,0,Tiền vệ,173,65,1/22/1998,https://vpf.vn/wp-content/uploads/2019/02/HPFC_VN0000487_HoangThaiBinh_28-150x150.png
Đoàn Ngọc Hà,0,Hậu vệ,182,72,2/22/2004,https://vpf.vn/wp-content/uploads/2022/07/THFC-29-Đoàn-Ngọc-Hà-150x150.jpg
Y Êli Niê,0,Thủ môn,183,79,1/8/2001,https://vpf.vn/wp-content/uploads/2019/04/DLK_VN0001044_YEliNie_1-150x150.jpg
Doãn Ngọc Tân,0,Hậu vệ,169,57,8/15/1994,https://vpf.vn/wp-content/uploads/2018/12/THFC_VN0000646_DoanNgocTan_34-150x150.jpg
Nguyễn Trọng Phú,0,Tiền vệ,173,68,6/30/1999,https://vpf.vn/wp-content/uploads/2019/07/LFC_52_NguyenTrongPhu_VN0002259-145x150.jpg
Trần Đình Bảo,0,Tiền vệ,176,74,6/18/1997,https://vpf.vn/wp-content/uploads/2022/02/26.-TRẦN-ĐÌNH-BẢO-150x150.jpg
Trịnh Xuân Hoàng,0,Thủ môn,184,78,11/6/2000,https://vpf.vn/wp-content/uploads/2019/06/THFC_VN0000641_TrinhXuanHoang_23-150x150.jpg
Luiz Antonio De Souza Soares,0,Tiền vệ,181,80,3/11/1991,https://vpf.vn/wp-content/plugins/joomsport-sports-league-results-management/sportleague/assets/images/player_st.png
Lê Thanh Bình,0,Tiền đạo,176,71,8/8/1995,https://vpf.vn/wp-content/uploads/2018/12/THFC_VN0002261_LeThanhBinh_91-150x150.jpg
Gustavo Sant Ana Santos,0,Tiền vệ,195,91,2/23/1995,https://vpf.vn/wp-content/uploads/2019/07/THFC_BR0001714_GustavoSantAnaSantos_95-150x150.jpg
Bùi Tấn Trường,0,Thủ môn,188,88,2/19/1986,https://vpf.vn/wp-content/uploads/2018/12/HNFC_1_BuiTanTruong_VN001642-150x150.jpg
Đỗ Duy Mạnh,0,Hậu vệ,180,70,9/29/1996,https://vpf.vn/wp-content/uploads/2018/12/HNFC_VN0000703_DODUYMANH_28-150x150.jpg
Wilson Brandon James,0,Tiền vệ,185,80,1/28/1997,https://vpf.vn/wp-content/uploads/2023/06/HNFC_4_wilson_Bradon_Jame-150x150.jpg
Nguyễn Văn Hoàng,0,Thủ môn,182,72,2/17/1995,https://vpf.vn/wp-content/uploads/2018/12/HNFC_5_NguyenVanHoang_VN0001182-150x150.jpg
Phạm Xuân Mạnh,0,Hậu vệ,175,68,2/9/1996,https://vpf.vn/wp-content/uploads/2018/12/HNFC_7_PhamXuanManh_VN001651-150x150.jpg
Đậu Văn Toàn,0,Tiền vệ,170,69,4/7/1997,https://vpf.vn/wp-content/uploads/2018/12/HNFC_8_DauVanToan_VN0000483-150x150.jpg
Phạm Tuấn Hải,0,Tiền đạo,172,68,5/19/1998,https://vpf.vn/wp-content/uploads/2018/12/HNFC_9_PhamTuanHai_VN0000484-150x150.jpg
Nguyễn Văn Quyết,0,Tiền đạo,172,65,7/1/1991,https://vpf.vn/wp-content/uploads/2018/12/HNFC_10_NguyenVanQuyet_VN0000485-150x150.jpg
Nguyễn Hai Long,0,Tiền vệ,168,63,8/27/2000,https://vpf.vn/wp-content/uploads/2018/12/HNFC_14_NguyenHaiLong_VN0000488-150x150.jpg
Nguyễn Đức Anh,0,Hậu vệ,175,68,5/16/2003,https://vpf.vn/wp-content/uploads/2018/12/HNFC_15_NguyenDucAnh_VN0001087-150x150.jpg
Nguyễn Thành Chung,0,Hậu vệ,180,70,9/8/1997,https://vpf.vn/wp-content/uploads/2018/12/HNFC_16_NguyenThanhChung_VN001659-150x150.jpg
Nguyễn Văn Trường,0,Tiền vệ,182,75,10/9/2003,https://vpf.vn/wp-content/uploads/2018/12/HNFC_19_NguyenVanTruong_VN0001086-150x150.jpg
Vũ Đình Hai,0,Tiền vệ,172,68,1/13/2000,https://vpf.vn/wp-content/uploads/2018/12/HNFC_21_VuDinhHai_VN0000710-1-150x150.jpg
Đào Văn Nam,0,Hậu vệ,180,70,5/10/1996,https://vpf.vn/wp-content/uploads/2018/12/HNFC_26_DaoVanNam_VN0000220-150x150.jpg
Vũ Tiến Long,0,Hậu vệ,168,63,4/4/2002,https://vpf.vn/wp-content/uploads/2018/12/HNFC_27_VuTienLong_VN001660-150x150.jpg
Quan Văn Chuẩn,0,Thủ môn,181,71,1/7/2001,https://vpf.vn/wp-content/uploads/2018/12/HNFC_37_QuanVanChuan_VN001661-150x150.jpg
Lê Văn Xuân,0,Hậu vệ,168,69,2/27/1999,https://vpf.vn/wp-content/uploads/2018/12/HNFC_45_LeVanXuan_VN001662-150x150.jpg
Nguyễn Văn Dũng,0,Hậu vệ,180,75,4/14/1994,https://vpf.vn/wp-content/uploads/2018/12/HNFC_66_NguyenVanDung_VN001663-1-150x150.jpg
Trần Văn Thắng,0,Hậu vệ,170,62,6/7/2001,https://vpf.vn/wp-content/uploads/2018/12/HNFC_67_TranVanThang_VN001664-150x150.jpg
Pereira Junior Delnison,0,Tiền đạo,0,0,7/18/1995,https://vpf.vn/wp-content/plugins/joomsport-sports-league-results-management/sportleague/assets/images/player_st.png
Trương Văn Thái Quý,0,Tiền vệ,168,64,8/22/1997,https://vpf.vn/wp-content/uploads/2018/12/HNFC_74_TruongVanThaiQuy_VN0000506-150x150.jpg
Almeida Silva Marcos Antonio,0,Tiền vệ,183,73,1/14/1991,https://vpf.vn/wp-content/uploads/2018/12/HNFC_77_AlmeidaSilvaMarcosAntonio_BR001665-150x150.jpg
Đỗ Hùng Dũng,0,Tiền vệ,170,66,9/8/1993,https://vpf.vn/wp-content/uploads/2018/12/HNFC_88_DoHungDung_VN0000507-150x150.jpg
Nguyễn Văn Tùng,0,Tiền đạo,179,70,6/2/2001,https://vpf.vn/wp-content/uploads/2021/04/HNFC_89_NguyenVanTung_VN001666-150x150.jpg
Tagueu Tadjo Diederrick Joel,0,Tiền đạo,178,70,6/12/1993,https://vpf.vn/wp-content/uploads/2023/10/HNFC_95_TagueuTadjoDiederrickJoel_CM001667-150x150.jpg
Nguyễn Đình Triệu,0,Thủ môn,180,73,11/4/1991,https://vpf.vn/wp-content/uploads/2020/01/HPFC_1_NguyenDinhTrieu_VN0000263-150x150.jpg
Nguyễn Anh Hùng,0,Hậu vệ,169,68,10/29/1992,https://vpf.vn/wp-content/uploads/2020/01/HPFC_2_NguyenAnhHung_VN0001249-150x150.jpg
Phạm Mạnh Hùng,0,Hậu vệ,178,73,3/3/1993,https://vpf.vn/wp-content/uploads/2018/12/HPFC_VN0002258_PhamManhHung_3-150x150.jpg
Benjamin Patrick Van Meurs,0,Hậu vệ,187,80,1/31/1998,https://vpf.vn/wp-content/uploads/2020/01/HPFC_4_BenjaminPatrickVanMeurs_AU001671-150x150.png
Đặng Văn Tới,0,Hậu vệ,178,74,1/12/1999,https://vpf.vn/wp-content/uploads/2020/01/HPFC_5_DangVanToi_VN0000491-150x150.png
Lương Xuân Trường,0,Tiền vệ,178,72,4/28/1995,https://vpf.vn/wp-content/uploads/2018/12/HPFC_VN0002248_LuongXuanTruong_8-150x150.jpg
Mpande Joseph Mbolimbo,0,Tiền đạo,183,80,3/23/1994,https://vpf.vn/wp-content/uploads/2020/01/HPFC_7_MpandeJosephMbolimbo_UG001676-150x150.jpg
Martin Lo,0,Tiền vệ,165,66,9/3/1997,https://vpf.vn/wp-content/uploads/2020/01/HPFC_8_Martinlo_VN0001251-150x150.png
Goncalves Silva Lucas Vinicius,0,Tiền vệ,184,80,9/14/1991,https://vpf.vn/wp-content/uploads/2022/08/HPFC_9_GoncalvesSilvaLucasVinicius_BR001679-150x150.png
Hồ Minh Dĩ,0,Tiền vệ,160,58,2/17/1998,https://vpf.vn/wp-content/uploads/2020/01/HPFC_11_HoMinhdi_VN0000740-150x150.jpg
Nguyễn Văn Đạt,0,Hậu vệ,180,72,5/20/1998,https://vpf.vn/wp-content/uploads/2018/12/HPFC_VN0002241_NguyenVanDat_15-150x150.jpg
Lê Mạnh Dũng,0,Tiền vệ,172,70,2/10/1994,https://vpf.vn/wp-content/uploads/2018/12/HPFC_VN0002242_LeManhDung_19-150x150.jpg
Dương Văn Khoa,0,Hậu vệ,172,64,5/6/1994,https://vpf.vn/wp-content/uploads/2020/01/HPFC_20_DuongVanKhoa_VN0000190-150x150.jpg
Lê Tiến Anh,0,Tiền vệ,165,65,3/23/1998,https://vpf.vn/wp-content/uploads/2020/01/HPFC_21_LeTienAnh_VN0000362-150x150.png
Đàm Tiến Dũng,0,Hậu vệ,180,79,1/10/1996,https://vpf.vn/wp-content/uploads/2020/01/HPFC_23_DamTienDung_VN0000424-150x150.png
Bicou Bissainthe,0,Hậu vệ,188,75,3/15/1999,https://vpf.vn/wp-content/uploads/2020/01/HPFC_25_BicouBissainthe_HT001682-150x150.jpg
Nguyễn Văn Toản,0,Thủ môn,186,80,11/26/1999,https://vpf.vn/wp-content/uploads/2020/01/HPFC_26_NguyenVanToan_VN0000281-150x150.jpg
Nguyễn Nhật Minh,0,Hậu vệ,175,65,7/27/2003,https://vpf.vn/wp-content/plugins/joomsport-sports-league-results-management/sportleague/assets/images/player_st.png
Lương Hoàng Nam,0,Tiền vệ,160,57,3/2/1997,https://vpf.vn/wp-content/uploads/2020/01/HPFC_30_LuongHoangNam_VN0001246-150x150.png
